prefix,first_name,last_name,gender,phone_number,email,vehicle_description,vehicle_brand,manufacturing_year,model_name,vehicle_type,vehicle_condition,transmission_type,engine_capacity,drive_type,fuel_type,fuel_consumption,kilometres_driven,vehicle_colour,secondary_address,building_number,street_name,street_suffix,location,engine_cylinders,body_type,doors,seats,price
Dr.,Deborah,Valenzuela,f,08-4124-2061,rileysonya@example.net,2016 Kia RIO S,Kia,2016.0,RIO,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.3 L / 100 km,93684,Red / Cloth,Suite 646 ,5,Jenkins Alleyway,Highway,"Ipswich, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,15886
,Sean,Jordan,u,+61 455 477 075,mitchellkaren@example.org,2017 Hyundai I30 Active,Hyundai,2017.0,I30,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,33836,Red / Black,Apt. 678 ,94,Sherman Walkway,Esplanade,"Minchinbury, NSW",4 cyl,Hatchback, 4 Doors, 5 Seats,25995
,Melissa,Larson,u,1871-6378,tanya95@example.com,2007 Mercedes-Benz B200,Mercedes-Benz,2007.0,B200,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,9.3 L / 100 km,141256,Black / -,6/,33,Natalie Round,Crest,"Coburg North, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,9990
Mr.,Bryan,Williams,m,(02)-5053-8006,mariah83@example.com,2015 Subaru Liberty 3.6R CVT AWD,Subaru,2015.0,Liberty,USED Dealer ad,USED,Automatic,-,Other,Unleaded,-,93000,Blue / Beige,Suite 503 ,0,Miller Frontage,Brace,"Sumner, QLD",-,,,,21750
Mr.,Gerald,Johnson,m,0474.053.373,torrestaylor@example.org,2010 Kia Sorento SLI (4X4),Kia,2010.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.4 L / 100 km,221000,Brown / -,Flat 24 ,24,Lauren Lower,Rosebowl,"Blair Athol, SA",4 cyl,SUV, 4 Doors, 7 Seats,13990
Mrs.,Kristina,Boyle,f,0432.134.925,melissa72@example.com,2013 Toyota RAV4 Cruiser (4X4),Toyota,2013.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6.5 L / 100 km,292134,Grey / Black Leather,Flat 80 ,25,Ethan Fire Track,Row,"Bankstown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,14995
Dr.,Maria,Stein,f,(02) 8700 5424,frank77@example.com,2013 Nissan Navara ST (4X4),Nissan,2013.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5 L / 100 km,159056,White / -,Suite 579 ,829,Padilla Corso,Byway,"Campbelltown, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,21990
,Jessica,Cunningham,u,03.1661.5234,adamschultz@example.com,2016 Toyota Hilux SR5 (4X4),Toyota,2016.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,245686,Silver / Black,488/,8,Barnes Pocket,Little,"Castle Hill, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38990
Dr.,Katherine,Garrison,f,+61 8 2070 3449,cperez@example.net,2016 Toyota HiAce DX,Toyota,2016.0,HiAce,Melbourne Automobiles Pty Ltd,USED,Automatic,-,Other,Unleaded,-,213752,Silver / Black,65/,47,Isaac Mall,Elbow,"Braeside, VIC",-,Commercial,,,34888
Dr.,Nathan,Spencer,m,+61-406-871-454,corydelgado@example.net,2013 Subaru XV 2.0I-S,Subaru,2013.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,175053,Orange / Black,Suite 930 ,5,Williams Ride,Wynd,"Harrington, NSW",4 cyl,SUV, 4 Doors, 5 Seats,15850
Mrs.,Andrea,Nixon,f,03-8327-9739,morgan59@example.org,2006 Ford Falcon XL,Ford,2006.0,Falcon,Ute / Tray,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,11.1 L / 100 km,254584,- / -,5/,2,Austin Stairs,Quays,"Underwood, QLD",6 cyl,Ute / Tray, 2 Doors, 2 Seats,9990
,Gina,Medina,u,+61-477-646-782,erin96@example.net,2011 Ford Territory TS (rwd),Ford,2011.0,Territory,SUV,USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,192356,Brown / -,Unit 06 ,89,Perry Viaduct,Lees,"Traralgon, VIC",6 cyl,SUV, 4 Doors, 7 Seats,17990
